us_state	us_state_abbr	us_district	us_district_ordinal	lon	lat	minx	miny	maxx	maxy
Ohio	OH	15	15th	-83.318036107	40.0572080713	-83.65333	39.695438	-82.864987	40.507025
Ohio	OH	17	17th	-80.9791053128	41.1789900661	-81.576337	40.906657	-80.518693	41.425989
Pennsylvania	PA	3	3rd	-79.9360965157	41.4874501341	-80.519425	40.677217	-78.953636	42.26986
Texas	TX	1	1st	-94.532407983	32.0271335372	-95.594541	31.026384	-93.600308	33.113105
Texas	TX	10	10th	-96.5282310304	30.1690218177	-97.86503	29.601663	-95.492134	30.730688
Texas	TX	17	17th	-96.9204389964	31.5190968582	-98.068545	30.225011	-95.61189	32.558822
Texas	TX	18	18th	-95.3865574439	29.8704473131	-95.563107	29.66593	-95.228411	30.027154
Texas	TX	31	31st	-97.576648644	31.2721904703	-98.551158	30.402843	-96.34889	32.51304
Washington	WA	8	8th	-121.85164708	47.2274620761	-122.371555	46.728371	-121.241407	47.777223
Wisconsin	WI	4	4th	-87.9573077479	43.0490382036	-88.066189	42.8931006326	-87.842681	43.192708
Wisconsin	WI	5	5th	-88.2469801219	43.217032293	-88.797006	42.84241	-87.793239	43.543515
Wisconsin	WI	6	6th	-88.7509682284	43.8452330519	-90.028759	43.072577	-87.507419	44.327637
Wyoming	WY	0	0th	-107.551446261	42.9996353764	-111.056888	40.994746	-104.05216	45.005904
Kentucky	KY	3	3rd	-85.6528915585	38.1931478819	-85.9152447809	38.051205	-85.4051	38.3805509283
Kentucky	KY	4	4th	-84.0800963873	38.521860155	-85.637970098	37.992614	-82.571877	39.147458
Arizona	AZ	4	4th	-112.110102204	33.4255480393	-112.238808	33.304646	-111.956699	33.55444
Louisiana	LA	3	3rd	-90.6595813624	29.7046299631	-92.0411682086	28.925011	-88.8170166016	30.497738
Maryland	MD	4	4th	-77.0028568716	39.0322393777	-77.334109	38.705715	-76.725089	39.294904
Maryland	MD	5	5th	-76.7679730586	38.5634915827	-77.27422	38.036503	-76.3194764355	39.131753
Maryland	MD	6	6th	-77.8784285207	39.555180486	-79.487651	39.203728	-76.150174	39.723043
Maryland	MD	7	7th	-76.8907562597	39.2749650858	-77.187113	39.103208	-76.564488	39.377805
Michigan	MI	8	8th	-84.1596267586	42.7429884822	-84.837714	42.421737	-83.098677	43.118816
California	CA	1	1st	-123.361125388	39.8946172578	-124.409591	38.154894	-121.501017	42.001047
California	CA	2	2nd	-122.349080634	40.550546497	-123.719174	38.627121	-121.009475	42.009518
Florida	FL	4	4th	-82.5596530636	30.3845240179	-84.226997	29.826087	-81.379874634	30.827493
Florida	FL	5	5th	-82.3615898607	28.7714262402	-83.1660915323	28.080396	-81.657097	29.591315
Arizona	AZ	6	6th	-111.574179914	33.3124321853	-111.893596	33.117659	-111.26893	33.513374
Arizona	AZ	7	7th	-112.980907713	32.7497088938	-114.813991	31.332177	-110.760649	34.304323
Arizona	AZ	8	8th	-110.07223288	31.9120836491	-111.279461	31.332502	-109.047612	32.603915
Arkansas	AR	1	1st	-91.2267013934	35.5051471031	-92.951315	33.93759	-89.644838	36.499463
Arkansas	AR	2	2nd	-92.5509951637	35.0774809584	-93.710297	34.41312	-91.345279	35.790823
Arkansas	AR	3	3rd	-93.6452508874	35.8928778088	-94.617919	34.930929	-92.407192	36.4996
Arkansas	AR	4	4th	-92.9294432208	33.9114277807	-94.485875	33.004106	-90.870461	35.430011
California	CA	8	8th	-122.428418855	37.7627139211	-122.514483	37.708132	-122.356784206	37.8321366793
Arizona	AZ	3	3rd	-112.052327121	33.7960755943	-112.264263	33.479967	-111.851426	34.04814
California	CA	5	5th	-121.449981027	38.5631820707	-121.576268	38.422028	-121.28716	38.705785
California	CA	9	9th	-122.146085858	37.7726818089	-122.335674958	37.655832	-121.942519	37.904725
California	CA	12	12th	-122.403953529	37.6066624994	-123.014302738	37.446738	-122.224455327	37.76623
California	CA	13	13th	-122.031396925	37.5920982665	-122.33555022	37.454539	-121.850849	37.7995377457
California	CA	14	14th	-122.164700398	37.2519822758	-122.505989	36.916452	-121.653556	37.622115
California	CA	15	15th	-121.830173032	37.1877424353	-122.091173	36.894155	-121.50175	37.484637
California	CA	16	16th	-121.771556421	37.2402320935	-121.96757	37.022918	-121.563739	37.450449
California	CA	17	17th	-121.205300864	36.3468227249	-122.087976	35.788977	-120.213979	37.076448
California	CA	18	18th	-120.814002046	37.2400820548	-121.486252	36.706042	-119.917171	38.037021
California	CA	19	19th	-119.973805211	37.6103198054	-121.260051	36.619247	-119.022363	38.433379
California	CA	20	20th	-119.986298499	36.1387739148	-120.918731	35.165421	-118.806151	37.044084
California	CA	21	21st	-118.927108832	36.5261104898	-119.904985	35.789161	-117.980761	37.585737
California	CA	22	22nd	-119.085036881	35.2945930948	-121.175695	34.601741	-117.616195	35.798201
California	CA	23	23rd	-120.318718305	34.7337564208	-121.346364444	33.895712	-119.112364	35.7951840413
California	CA	24	24th	-119.572952618	34.619665116	-120.612246	33.215432	-118.632313	35.114644
California	CA	25	25th	-117.499189334	36.2187480801	-119.651509	34.230703	-115.38880922	38.713212
California	CA	27	27th	-118.471971067	34.2577570638	-118.650588	34.142407	-118.266809	34.353957
California	CA	28	28th	-118.418632034	34.1918554231	-118.544827	34.101208	-118.309487	34.315524
California	CA	30	30th	-118.644125389	34.1023528462	-118.9448854	33.9961708934	-118.33091	34.277218
California	CA	31	31st	-118.24219509	34.0837207542	-118.33341	33.989114	-118.155504	34.151507
California	CA	33	33rd	-118.338232919	34.0330094567	-118.448511	33.967113	-118.250807	34.128308
California	CA	34	34th	-118.178838807	33.9811651882	-118.278957	33.865515	-118.090201	34.07241
Florida	FL	17	17th	-80.2147513226	25.9270002177	-80.311772	25.778276	-80.142467	26.025067
Florida	FL	18	18th	-80.7644214109	25.171249385	-82.165206	24.544701	-80.117879718	25.9295423697
California	CA	35	35th	-118.332833954	33.93981877	-118.445511	33.865316	-118.228005	34.007514
California	CA	36	36th	-118.358694236	33.8648785856	-118.48294187	33.709819	-118.220802	34.046902
California	CA	37	37th	-118.216369465	33.845488092	-118.309306	33.762117	-118.107699	33.945915
California	CA	43	43rd	-117.446527131	34.0899512119	-117.683588	33.975213	-117.227574	34.221467
California	CA	44	44th	-117.484646961	33.7914123392	-117.676286	33.3867540107	-117.243472	34.034313
California	CA	47	47th	-117.913603139	33.7825171892	-117.992293	33.692293	-117.833988	33.874214
California	CA	48	48th	-117.760694944	33.6398683764	-117.956923061	33.440679259	-117.620333	33.793909
California	CA	50	50th	-117.171586473	33.0419632999	-117.359915146	32.788589	-116.996107	33.215636
Colorado	CO	1	1st	-104.886191139	39.7499750759	-105.110041	39.614433	-104.600296	39.914247
Colorado	CO	2	2nd	-106.10407248	39.865111413	-107.113947	39.350469	-104.883046	40.486252
Colorado	CO	3	3rd	-106.912483477	38.6149429385	-109.060253	36.992426	-103.074663	41.003444
Colorado	CO	4	4th	-103.321198999	39.4459515683	-106.195438	36.993083	-102.041524	41.002597
Connecticut	CT	1	1st	-72.8099616793	41.8159981209	-73.201836	41.544698	-72.463729	42.0419641333
Connecticut	CT	2	2nd	-72.2126277296	41.6595289957	-72.778239	41.250499	-71.786994	42.036788
Connecticut	CT	3	3rd	-72.8885828023	41.3798745484	-73.1642978006	41.146797	-72.550945	41.60435
Connecticut	CT	4	4th	-73.3785027692	41.2181830395	-73.727775	40.985171	-73.077353	41.489424
Connecticut	CT	5	5th	-73.2188979796	41.6906327736	-73.543425	41.318095	-72.744742	42.050587
Delaware	DE	0	0th	-75.5001765252	38.9917770652	-75.788658	38.451013	-75.048939	39.839007
Florida	FL	10	10th	-82.7293091575	27.8619009219	-82.851126	27.612972	-82.566819	28.1134706953
Florida	FL	11	11th	-82.4936564942	27.8965429302	-82.705222	27.466818	-82.343686	28.110812
Florida	FL	13	13th	-82.077403219	27.3352121701	-82.745748	26.788862	-81.562247	27.646658
Florida	FL	14	14th	-81.8565086498	26.539465205	-82.30497	25.845301	-81.56218	27.032949
Florida	FL	19	19th	-80.176379207	26.4531383898	-80.297971	26.194961	-80.076364	26.735241
Florida	FL	21	21st	-80.3400783493	25.8398279912	-80.442209	25.606283	-80.258272	26.029523
Kentucky	KY	5	5th	-83.5242997933	37.3263730698	-85.064251	36.582581	-81.964971	38.395994
Kentucky	KY	6	6th	-84.4467138571	37.8896095984	-85.169811	37.290344	-83.631112	38.374858
Louisiana	LA	1	1st	-90.1298610815	30.5538107048	-90.567504	29.876149	-89.524504	31.004831
Louisiana	LA	2	2nd	-89.9801838719	30.0290445781	-90.280278	29.768427	-89.6228886268	30.199194
Louisiana	LA	4	4th	-93.3065859112	31.845315913	-94.043147	30.4022748801	-92.196131	33.019457
Arizona	AZ	5	5th	-111.609719794	33.6726783295	-112.148004	33.290346	-111.039905	34.015121
Louisiana	LA	6	6th	-91.0386576723	30.5952605561	-91.750119	30.025336	-90.401246	31.044749
Louisiana	LA	7	7th	-92.7039291777	30.1396235054	-93.929208	29.533026	-91.678896	30.849989
Maine	ME	1	1st	-70.0802563778	43.9182675607	-70.989067	43.059825	-68.584074	44.646988
Maine	ME	2	2nd	-69.114036317	45.5619130435	-71.084334	43.785062	-66.949895	47.459686
Maryland	MD	1	1st	-75.8878454784	38.767485528	-76.754798	37.911717	-75.048939	39.72192
Maryland	MD	2	2nd	-76.4680484228	39.3610016664	-76.8966	39.076709	-76.060931	39.578411
Maryland	MD	3	3rd	-76.679303596	39.1849687292	-76.935198	38.907113	-76.45028	39.482104
California	CA	26	26th	-117.789035498	34.2364816093	-118.248706	34.002878	-117.400482	34.440644
Colorado	CO	5	5th	-105.390880513	38.8459048897	-106.599516	38.257546	-104.051525	39.566584
Florida	FL	12	12th	-81.7703512121	27.8766747325	-82.524826	27.643238	-81.131045	28.26359
Alabama	AL	2	2nd	-86.1067856253	31.7243068144	-87.427293	30.99287	-84.999428	32.769227
Alabama	AL	3	3rd	-85.7053898933	33.0516320399	-86.50359	31.965065	-84.8908943031	34.526201
Alabama	AL	4	4th	-87.0956873277	34.0737241585	-88.2910763483	33.063602	-85.513709	34.860371
Alabama	AL	5	5th	-86.9342506355	34.7455932372	-88.202959	34.299149	-85.583145	35.008028
Alabama	AL	6	6th	-86.8795590805	33.2762593211	-87.840683	32.660118	-86.043886	33.872342
Alabama	AL	7	7th	-87.6902048854	32.4383008114	-88.473227	31.185486	-86.633092	33.686202
Alaska	AK	0	0th	-152.190031609	64.2090315491	-179.14734	51.219862	179.77847	71.352560644
Arizona	AZ	1	1st	-110.8752127	34.8483051339	-113.334105	32.424475	-109.045223	37.00426
Arizona	AZ	2	2nd	-113.158996395	35.4995639677	-114.755618	33.188324	-110.000673	37.000753
California	CA	4	4th	-120.69033646	40.3064446269	-121.692925	38.50243	-119.877248	41.997612
New York	NY	27	27th	-79.1064263194	42.4165001224	-79.762152	41.998255	-78.462164	42.966257
Ohio	OH	13	13th	-81.7914745639	41.2341278865	-82.292281	40.907856	-81.456234	41.515639
Pennsylvania	PA	11	11th	-75.834244377	41.0646607697	-76.640767	40.735442	-74.966759	41.503179
Texas	TX	13	13th	-100.534265698	34.666961211	-103.042775	32.511626	-97.049672	36.500704
Wisconsin	WI	7	7th	-90.8467558168	45.5967594192	-92.888114	44.243546	-89.046315	47.07757
Florida	FL	6	6th	-82.2398541385	29.6873222936	-82.973054	28.766849	-81.675887	30.505537
Florida	FL	7	7th	-81.3774754301	29.5015876417	-81.751635	28.607377	-80.992781	30.2528964301
Florida	FL	8	8th	-81.6987810463	28.8422190304	-82.152269	28.275689	-81.224088	29.372014
Florida	FL	9	9th	-82.4105197405	28.0774127644	-82.8087517171	27.762611	-82.054038	28.433933
Colorado	CO	6	6th	-104.519647315	39.3972306919	-105.643408	38.866521	-103.706558	39.854987
Colorado	CO	7	7th	-104.388008819	39.8547237368	-105.240745	39.619273	-103.705701	40.001508
Georgia	GA	7	7th	-83.8615036893	33.890357899	-84.276822	33.571464	-83.505726	34.173077
California	CA	6	6th	-122.856777362	38.3416774153	-123.534164168	37.822128	-122.349085	38.808369
California	CA	7	7th	-122.125886075	38.1143054829	-122.430087188	37.8972356494	-121.833217	38.417541
California	CA	10	10th	-121.855505382	38.0083456144	-122.323581	37.587605	-121.484319	38.489058
California	CA	11	11th	-121.409369141	37.7068154485	-122.039303	36.960448	-120.920744	38.297915
California	CA	32	32nd	-117.985179059	34.0854910697	-118.196705	34.001712	-117.841093	34.194325
Georgia	GA	8	8th	-83.4664645592	32.3492713532	-84.124275	31.025889	-82.633126	33.660055
Georgia	GA	9	9th	-84.4741441287	34.6490189972	-85.605165	34.090098	-83.614863	34.988408
Georgia	GA	10	10th	-83.1098730447	34.0050729643	-83.946274	33.167491	-81.955137	35.000771
Georgia	GA	11	11th	-85.0650470529	34.117865391	-85.527261	33.573481	-84.469419	34.622451
Georgia	GA	12	12th	-82.2109905	32.7248061209	-83.429034	31.782608	-81.000057	33.733308
Georgia	GA	13	13th	-84.532463553	33.6495187844	-84.850713	33.352585	-84.136216	33.949002
California	CA	38	38th	-117.9644864	34.0063468591	-118.174104	33.880414	-117.711089	34.112643
California	CA	39	39th	-118.102998038	33.9079019939	-118.256506	33.820216	-117.976296	34.015611
California	CA	40	40th	-117.927980782	33.8333399885	-118.092942	33.749116	-117.742742	33.924013
California	CA	41	41st	-115.826293542	34.5937765133	-117.482113	33.691864	-114.134426539	35.6051266902
California	CA	42	42nd	-117.730898014	33.860232777	-118.032699	33.534915	-117.533999	34.047811
California	CA	45	45th	-115.751179933	33.7289223133	-117.296775	33.425932	-114.434949	34.079816
California	CA	46	46th	-118.271501932	33.4714535592	-118.606559	32.800595	-117.857447	33.832239
California	CA	49	49th	-117.049877386	33.3579467309	-117.595956354	32.99058	-116.417108	33.869818
California	CA	51	51st	-115.467085252	33.0080529844	-117.135964	32.5346884348	-114.462929	33.433744
California	CA	52	52nd	-116.534713294	32.9746899353	-117.176267	32.569076	-116.081091	33.428892
California	CA	53	53rd	-117.167089231	32.7449739432	-117.28217	32.534156	-116.980317	32.9396338189
Florida	FL	15	15th	-80.9428568225	28.0130083492	-81.83772	27.557248	-80.3212738568	28.642537
Florida	FL	16	16th	-81.1023678966	27.1084644241	-82.171696	26.422551	-80.0668517472	27.646678
Florida	FL	20	20th	-80.257269018	26.0514760669	-80.441675	25.784899	-80.1123391108	26.201161
Florida	FL	22	22nd	-80.139070629	26.5662387243	-80.305572	26.044167	-80.031362	26.971034
Florida	FL	23	23rd	-80.6471748777	26.5867168941	-81.271723	25.95675	-80.049463	27.531541
Florida	FL	24	24th	-81.0114304676	28.7067591246	-81.593195	28.326386	-80.594641	29.233528
Florida	FL	25	25th	-81.0099955388	25.798321673	-81.736583	25.124222	-80.310174	26.517069
Georgia	GA	1	1st	-82.2834562186	31.3533747193	-83.576942	30.357851	-80.840549	32.310053
Georgia	GA	2	2nd	-84.3291585735	31.6824763501	-85.141931	30.6312715804	-83.235417	32.883561
Georgia	GA	3	3rd	-84.6889185363	33.1373236352	-85.3225583515	32.412816	-83.923518	33.784706
Hawaii	HI	2	2nd	-156.334649225	20.2270464328	-178.342102051	18.9174661372	-154.809379	28.4073905945
Idaho	ID	1	1st	-116.032925175	45.3614440777	-117.243027	41.9960123742	-114.320665	49.001146
Idaho	ID	2	2nd	-113.35857233	43.4682855052	-116.280561	41.988057	-111.043564	45.704564
Illinois	IL	4	4th	-87.7353240528	41.870269537	-87.920463	41.786032	-87.638652	41.968531
Illinois	IL	8	8th	-88.1653697618	42.3208474879	-88.472191	41.986227	-87.798071	42.496219
Illinois	IL	12	12th	-89.5018059606	37.9527563228	-90.373929	36.970298	-88.704825	38.933147
Illinois	IL	14	14th	-89.1503610123	41.6991717029	-90.433872	41.234551	-88.146278	42.154324
Illinois	IL	15	15th	-88.1757767473	39.9767966728	-89.148767	37.775428	-87.496494	41.111243
Illinois	IL	16	16th	-89.4588898046	42.1993760997	-90.656527	41.67108	-88.197682	42.508302
Illinois	IL	17	17th	-90.4356536544	40.2753067471	-91.513079	38.868336	-88.849873	41.844835
Illinois	IL	18	18th	-89.9592411526	40.2726191827	-91.265848	39.484609	-88.745121	41.360339
Indiana	IN	4	4th	-86.6454330218	39.9128952492	-87.339287	38.686561	-85.950789	40.912569
Indiana	IN	5	5th	-85.8530080431	40.3607542716	-86.375762	39.349295	-85.33452	41.046712
