us_state	us_state_abbr	us_district	us_district_ordinal	lon	lat	minx	miny	maxx	maxy
Ohio	OH	7	7th	-83.1360440583	39.7064956464	-84.113935	39.351612	-82.024219	40.040009
Ohio	OH	8	8th	-84.5179966731	39.9503387149	-84.815754	39.291758	-84.023202	40.575054
Ohio	OH	9	9th	-82.8679016669	41.441907478	-83.882254	41.063538	-81.972476	41.732647
Ohio	OH	18	18th	-82.0010876145	39.9577987236	-83.394005	38.844475	-80.829537	40.729172
Oklahoma	OK	1	1st	-95.784952907	36.2269438794	-96.298088	35.764434	-95.207748	36.999336
Oklahoma	OK	2	2nd	-95.4246508263	35.1711454633	-96.933762	33.6165666382	-94.431215	36.99958
Oklahoma	OK	3	3rd	-98.8406673019	36.1219599438	-103.002565	34.3367954404	-96.000429	37.002206
Oklahoma	OK	4	4th	-97.7097966575	34.561057151	-99.23806	33.716941	-96.406047	35.485754
Oklahoma	OK	5	5th	-96.9927560834	35.3069553218	-97.674221	34.856784	-96.441162	35.725985
Oregon	OR	1	1st	-123.302736176	45.6950956714	-124.024305	45.074873	-122.664506	46.271004
Oregon	OR	2	2nd	-119.554868842	43.8585435491	-123.466868	41.991794	-116.463504	46.000994
Pennsylvania	PA	4	4th	-80.190213582	40.7630212007	-80.519891	40.396916	-79.561588	41.233456
Pennsylvania	PA	5	5th	-78.2917833949	41.3970365089	-79.999781	40.514973	-76.772417	42.001674
Pennsylvania	PA	6	6th	-75.7050487579	40.1876134312	-76.091764	39.884134	-75.205423	40.603521
Pennsylvania	PA	7	7th	-75.4376703802	39.9797830991	-75.641558	39.801786	-75.247426	40.224502
South Carolina	SC	1	1st	-79.4400954965	33.4233401017	-80.307031	32.546118	-78.541087	34.29924
South Carolina	SC	2	2nd	-81.148829155	33.1769801268	-81.772435	32.0346	-80.429291	34.26876
South Carolina	SC	3	3rd	-82.3065525076	34.2567126209	-83.353238	33.1981173834	-81.471972	35.0856
South Carolina	SC	4	4th	-82.0440413321	34.8566088166	-82.764464	34.444915	-81.415894	35.215402
South Carolina	SC	5	5th	-80.6509287723	34.5384800837	-81.945019	33.902313	-79.071169	35.184113
South Carolina	SC	6	6th	-80.2034665064	33.4767755707	-81.227804	32.470672	-79.126594	34.300572
South Dakota	SD	0	0th	-100.230489442	44.4361520175	-104.057698	42.479635	-96.436589	45.94545
Tennessee	TN	1	1st	-82.784086413	36.2192069161	-83.784286	35.562684	-81.6469	36.616213
Tennessee	TN	2	2nd	-84.1639204158	35.6545038265	-84.860164	35.204276	-83.522393	36.186479
Tennessee	TN	3	3rd	-84.3681979385	35.7303327923	-85.475193	34.982972	-83.255292	36.600814
Tennessee	TN	4	4th	-85.8272473823	35.6805376579	-87.74375	34.9830629086	-83.899701	36.626511
Tennessee	TN	5	5th	-86.7258077959	36.2053260987	-87.152227	35.967763	-86.174466	36.455711
Tennessee	TN	6	6th	-86.1299869181	36.1284236943	-87.150375	35.252878	-85.082497	36.652486
Tennessee	TN	7	7th	-88.2855191916	35.4792855682	-89.981788	34.993754	-86.600032	36.642414
Tennessee	TN	8	8th	-88.6841594603	36.0252952032	-90.179265	35.187423	-87.150193	36.678118
Texas	TX	2	2nd	-94.5647778811	29.9501956254	-95.568308	29.5614576738	-93.837971	30.406996
Texas	TX	3	3rd	-96.6866996052	33.0426970402	-96.844701	32.833326	-96.514199	33.245622
Texas	TX	8	8th	-94.6664001748	30.5925803917	-95.863059	29.8648434793	-93.5164072638	31.186601
Texas	TX	11	11th	-100.569913818	31.501219777	-103.98406	30.134379	-97.828512	32.970226
Texas	TX	19	19th	-101.256754728	33.3342311242	-103.064916	32.078018	-98.420444	35.187249
Texas	TX	20	20th	-98.5695504254	29.446969828	-98.7115	29.31977	-98.31099	29.554559
Texas	TX	21	21st	-98.9185079669	29.9706461078	-100.064136	29.383035	-97.720182	30.628249
Texas	TX	22	22nd	-95.4911869346	29.4896692484	-95.953286	29.193233	-94.905786	29.71181
Texas	TX	23	23rd	-102.576508582	30.3086860347	-106.259258	28.1968375218	-98.287089	32.0024123179
Texas	TX	24	24th	-97.0046688324	32.8330521054	-97.203188	32.547837	-96.82048	33.085876
Texas	TX	25	25th	-97.2330380269	29.7388900078	-98.297598	29.063244	-96.175576	30.379542
Texas	TX	26	26th	-97.1178025087	33.2646780514	-97.398496	32.602536	-96.834068	33.956378
Texas	TX	27	27th	-97.6397948125	27.0131729726	-98.059801	25.837377	-97.0454087763	28.137422
Texas	TX	28	28th	-98.8579192824	28.00788631	-100.212136678	26.049412	-97.631206	29.858288
Texas	TX	29	29th	-95.2078124821	29.7836674258	-95.417215	29.626431	-94.953745	29.954421
Texas	TX	32	32nd	-96.8524673248	32.8599687727	-97.021086	32.704632	-96.680731	32.987523
Utah	UT	1	1st	-112.654693024	40.9114432468	-114.047783	39.542742	-110.000708	42.001567
Virginia	VA	9	9th	-81.370180068	36.9773172472	-83.675413	36.5424469844	-79.612579	37.892026
Virginia	VA	10	10th	-77.8971166841	39.0366488667	-78.5441069196	38.697723	-77.1199	39.466012
Virginia	VA	11	11th	-77.3738284237	38.7474829441	-77.715591	38.596019	-77.0417702034	38.93171
Washington	WA	1	1st	-122.457756104	47.7363932313	-123.037766	47.520158	-121.969333	47.940772
Washington	WA	2	2nd	-121.760749418	48.4183315588	-123.237148	47.485608	-120.654676	49.002494
Washington	WA	3	3rd	-122.587538696	46.3530310376	-124.098358486	45.543541	-121.35232	47.190246
Washington	WA	4	4th	-120.196027562	46.9193654877	-121.836829	45.606098	-118.198228	48.550725
Washington	WA	5	5th	-118.374003016	47.7464850116	-120.885449	45.995413	-116.915989	49.000843
Washington	WA	6	6th	-123.603251625	47.5804302406	-124.733174	46.790956	-122.3921	48.390691
Washington	WA	9	9th	-122.512235223	47.1157152902	-122.916646	46.83955	-122.147149	47.504402
West Virginia	WV	1	1st	-80.2675833082	39.3801442663	-81.756254	38.717898	-78.6576896362	40.638801
West Virginia	WV	2	2nd	-80.281564897	38.8349049147	-82.221566	37.967409	-77.719029	39.695967
West Virginia	WV	3	3rd	-81.1579492267	37.9568820493	-82.644739	37.201483	-79.617875	38.739711
Wisconsin	WI	1	1st	-88.376269332	42.7015440364	-89.080611	42.49192	-87.7666751046	42.988414
Wisconsin	WI	2	2nd	-89.3684557492	43.0626334835	-89.839212	42.496025	-88.659279	43.643411
Wisconsin	WI	3	3rd	-90.9832330239	43.9636395903	-92.807988	42.5055427229	-89.716768	45.210415
Georgia	GA	6	6th	-84.427742185	34.1613586419	-84.659234	33.817205	-84.097388	34.41259
